tweets,,,,,,,,
RT @AH_Michael: So...dat PS4\ right? #XboxReveal #SonyIsFucked,,,,,,,,
Thanks Microsoft for stealing my money\ all new innovations like kinect and smartglass. Oh wow lets just throw away my 360! #XboxReveal,,,,,,,,
RT @gamingangel: Sad that I feel it's more likely to get a dog in Infinity Ward's multiplayer than a female character model.  #xboxreveal,,,,,,,,
Get the feeling after that that Xbox doesn't care about games anymore. Looks like I'll be getting a PS4. #xboxreveal,,,,,,,,
E agora a foto com o console completo. Esse é o novo Xbox One.\,,,,,,,,
Your move\,,,,,,,,
RT @GIBiz: If this is the last game of the #xboxreveal\ Sony #XboxReveal,,,,,,,,
RT @IGNUK: Call Of Duty: Ghosts is up. Here's your big new character reveal... it's a dog O_o http://t.co/3iuJRBDfVX #XboxReveal http://t.c… interesting that Microsoft has more faith in COD than an exclusive title?,,,,,,,,
Quand j'achète un burger\,,,,,,,,
@Battlefield  That has GOT to hurt! @InfinityWard just smacked yo ASS!! Customized characters first! #XboxReveal j'aime savoir ce qu'il contient. What's exactly in XboxOne ? #XboxReveal,,,,,,,,
RT @Xbox: And that's a wrap for #XboxReveal. We'll be sharing the next chapter of this story and our incredible lineup of blockbuster games…,,,,,,,,
RT @Jackstandsup: Remember everyone bitching about Sony showing up with no console?\,,,,,,,,
RT @gamerzona: Música épica\,,,,,,,,
"RT @LinusTech: Teaching my son how to count to three. \""0\",,,,,,,,
There has been a consistent fire alarm going off for the last hour and a half in my theatre. During the presentation. WELP #xboxreveal imágenes impresionates....dramatismo en el primer vídeo oficial de Call of Duty: Ghosts #XboxReveal\,,,,,,,,
RT @kazamatsuri: Sony stock up since #xboxreveal http://t.co/TbL3mWdczr 360\,,,,,,,,
I really want the Xbox One but getting rid of the Xbox 360 will be so painful #memories #xboxreveal,,,,,,,,
RT @miinaaa: Call of Duty - where there's a dog and fish\,,,,,,,,
#XboxReveal ...,,,,,,,,
RT @agentbizzle: They should show the story mode for some porno movies too\ but no women #xboxreveal,,,,,,,,
série sobre Halo com direção do Spielberg. Só. #XboxReveal ! lol,,,,,,,,
That was the most disappointing reveal since the wiiU #xboxreveal while we're on the subject of things NOBODY PAYS ATTENTION TO. …,,,,,,,,
Repito\,,,,,,,,
"Was #Kinect ever really revolutionary? Really though? And these other \""revolutions\""... Does anybody actually want them? #XboxReveal",,,,,,,,
Call of Duty: Old Yeller  #XboxRevealno hay nada de eso que no ppdamos hacer con una PC... #XboxReveal #XboxOne,,,,,,,,
Tiriamo le somme? Che vi pare esteticamente? e l'hardware? #xboxreveal,,,,,,,,
Wanna see this new #XboxReveal where can I find it. I missed it!,,,,,,,,
RT @MoreConsole: Biggest surprise of the #XboxReveal event? Xbox One. How the hell did Microsoft keep that a secret? http://t.co/MgEtncADza,,,,,,,,
So #XboxOne looks great and all\,,,,,,,,
RT @GoBeyondEnt: Game recording/editing on Xbox One. #XboxReveal,,,,,,,,
RT @MaxOfS2D: Ahahahahaha Sony's share price is going up like crazy #xboxreveal http://t.co/u56ZbiJ1oZ but #HaloTV took the show for me. So excited! #xboxreveal,,,,,,,,
"RT @AH_BrownMan: Hopefully the name of the new Xbox is \""Playstation 5\"" #XboxReveal",,,,,,,,
RT @vG_Turningeye: #Xboxreveal was an unfortunate flop IMO. no gameplay. no price. no real info other than its about TV n sports and it wil…,,,,,,,,
Trolling much? RT @IGN: Sony PlayStation fans\,,,,,,,,
RT @Rubiu5: WOAH\,,,,,,,,
RT @hiro_mashima: Call of dutyの画面。何事だコレw\ what did you think of Microsoft's #XboxReveal?,,,,,,,,
RT @EatMyDiction1: Good thing I'm going to E3 so I can actually see what the fuck Microsoft expects me to get excited about. #XboxReveal UNA CAJA DE ZAPATOS #XboxReveal,,,,,,,,
@r0bskii - People love to hate\,,,,,,,,
Je suis le seul qui avait le souffle coupé pendant les cinématiques de COD? \,,,,,,,,
Ps4 or Xbox 1 #decisions #XboxReveal,,,,,,,,
http://t.co/qbXiUKlPjh #XboxReveal\ you know that\,,,,,,,,
Really expected more exclusives to be shown... #XboxReveal,,,,,,,,
Good news everybody\,,,,,,,,
Ich gehe schlafen\,,,,,,,,
If I was in charge of Xbox marketing\,,,,,,,,
Fuck Microsoft .... RT @Dalus87: no used games\,,,,,,,,
The new Xbox looks hideous #XboxOne #XboxOneInFiveWords #XboxReveal I still have my Xbox One.  I just saved a ton of money!\,,,,,,,,
But where were the games? #XboxReveal,,,,,,,,
Au pire gueulez pas sur la conf xbox\,,,,,,,,
that's cool :p #XboxReveal http://t.co/hm8sJdtX4k weckt mich\,,,,,,,,
"RT @Outconsumer: \""We did not want to make the same thing\ I'd issue an apology\ fire myself\",,,,,,,,
La XBOX 360 seguirá recibiendo apps nuevas y otras cosas\,,,,,,,,
of course not close to ps4 presentation....they didnt show the console at all. #XboxReveal: http://t.co/4WmfRN0F4t no used games\ No uuuUUused *drake voice* #XboxReveal,,,,,,,,
RT @Dinfire: My take: dumb name\,,,,,,,,
los que estuvieron en la #xboxreveal que piensan de ella porque ami me encanto,,,,,,,,
RT @Xbox: Only minutes left until the big reveal! Are you ready? @Xbox http://t.co/fOUj15ZI0C #XboxReveal http://t.co/Wjcx94j7PC au moins on a vu la console ! #XboxReveal,,,,,,,,
So in my opionion... #xboxreveal was good\,,,,,,,,
"It would have been awesome if they'd bothered making games that gamers like. Not games for \""Bros\"". #XboxReveal we wanted to do the right thing\"". A ver si es verdad #xboxreveal #CODGhosts",,,,,,,,
RT @Soul7Reaper: #XboxReveal Sony died from laughing right now. a la vez que XBOX ONE\ netflix y demás… #xboxreveal,,,,,,,,
Spielberg's Halo TV series will hopefully be pretty cool. Lots of scope. #XboxReveal,,,,,,,,
Xbox One is NOT backwards compatible. SHIT! #XboxReveal plain form factor\ smart control updates\, games looked eh...  #XboxRev…,,,,,,,
So the big question is\,,,,,,,,
Hopefully they will focus more on games at E3 #XboxReveal #XboxOne,,,,,,,,
RT @BenThePCGuy: Oh\ but ps4 was better only in the sense that they showed more games,,,,,,,,
RT @BlackNerd: So was this #XboxOne #XboxReveal part of YouTube Comedy Week?,,,,,,,,
#XboxReveal it can be mistaken for a brand new #DVDplayer or #VCR wow feel like I've jumped back in the 90's :O #backtothefuture :P,,,,,,,,
RT @sagematt: #XboxReveal http://t.co/p5dB3TAe5j,,,,,,,,
Fancy winning a @razer Kraken Pro headset? http://t.co/vDB59zeTHC … … Follow @t3dotcom and RT to enter #t3razerwin #T3Xboxlaunch #xboxreveal,,,,,,,,
"En una palabra: \""WEAK\"" #XboxReveal which was the most underwhelming: #XboxReveal or #PS4Reveal?",,,,,,,,
Looks pretty sick... Great new technologies http://t.co/9dI7F5OV0Z #XboxReveal,,,,,,,,
Who else was blown away with the #XBOXreveal of #XboxOne?  I need to catch my breath. and look!  @Skype is built in to the new @Xbox One.  Just like on @windowsphone.  :)  #XboxReveal,,,,,,,,
